Manufacturer Type (Type de fabricant),Manufacturer Name (Nom du fabricant),Manufacturer's Brand (Marque du fabricant)
Microbrewer,Wellington County Brewery Inc.,Arkell Best Bitter
Microbrewer,Wellington County Brewery Inc.,Imperial Russian Stout
Microbrewer,Wellington County Brewery Inc.,Silver Selection
Microbrewer,Wellington County Brewery Inc.,Silver Wheat Ale
Microbrewer,Wellington County Brewery Inc.,Trailhead Premium Lager
Microbrewer,Wellington County Brewery Inc.,Wellington County Dark Ale
Microbrewer,Wellington County Brewery Inc.,Wellington Iron Duke Strong Ale
Microbrewer,Wellington County Brewery Inc.,Wellington Special Pale Ale
Microbrewer,Westport Brewing Company Inc. o/a Westport Brewing Co.,Upper Rideau Blonde 
Microbrewer,Westport Brewing Company Inc. o/a Westport Brewing Co.,Lakeside Lager
Microbrewer,Westport Brewing Company Inc. o/a Westport Brewing Co.,Beaver Pond Brown 
Microbrewer,Whiprsnapr Brewing Co. Inc.,The Root of Evil
Microbrewer,Whiprsnapr Brewing Co. Inc.,Carolanne
Microbrewer,Whiprsnapr Brewing Co. Inc.,Inuckshuck
Microbrewer,Whiprsnapr Brewing Co. Inc.,F'N'L'
Microbrewer,Whiprsnapr Brewing Co. Inc.,The Mick and Blueberry Pancakes
Microbrewer,Whiprsnapr Brewing Co. Inc.,Black Sunshine
Microbrewer,WhiskeyJack Beer Company Ltd.,Ta-Beer-Wit - Belgian Wibier
Microbrewer,WhiskeyJack Beer Company Ltd.,Abitibi Amber - American Amber Ale
Microbrewer,Whitewater Brewing Company,IPA
Microbrewer,Whitewater Brewing Company,English Style Bitter (ESP)
Microbrewer,Whitewater Brewing Company,Stout
Microbrewer,Whitewater Brewing Company,Blonde
Microbrewer,Willibald Farm Distillery Limited o/a Willibald Farm Distillery,
Microbrewer,WISHBONE BREWING COMPANY LTD. o/a WISHBONE BREWING COMPANY ,
Microbrewer,Wood Brothers Brewing Company Ltd. o/a Wood Brothers Brewing,
Microbrewer,Woodhouse Brewing Co. Inc. o/a Woodhouse Brewing Co.,
Microbrewer,Yates Street Brewing Company Inc. o/a Coldbreak Brewing,
